n,ZoneA_n,ZoneA_pct,ZoneB_n,ZoneB_pct,ZoneC_n,ZoneC_pct,ZoneD_n,ZoneD_pct,ZoneE_n,ZoneE_pct,ZoneAB_n,ZoneAB_pct,horizon_min,variant,MAE,RMSE,pred_len,checkpoint
13700,13247.0,96.69343065693431,362.0,2.6423357664233578,4.0,0.029197080291970805,87.0,0.635036496350365,0.0,0.0,13609.0,99.33576642335767,15,MambaFormer-96,8.158759298823178,12.564873138818637,12.0,./results/mambaformer96_baseline_clarke/baseline_predlen12/best_model.pt
13648,11889.0,87.11166471277842,1471.0,10.778135990621337,13.0,0.09525205158264947,275.0,2.014947245017585,0.0,0.0,13360.0,97.88980070339976,30,MambaFormer-96,14.333067032309401,21.2739862797793,12.0,./results/mambaformer96_baseline_clarke/baseline_predlen12/best_model.pt
13604,10895.0,80.0867391943546,2301.0,16.91414289914731,31.0,0.227874154660394,374.0,2.7491914142899145,3.0,0.022052337547780066,13196.0,97.00088209350191,45,MambaFormer-96,18.97982348075127,28.844521458788893,12.0,./results/mambaformer96_baseline_clarke/baseline_predlen12/best_model.pt
13551,9930.0,73.27872481735666,2996.0,22.10906944136964,53.0,0.39111504686001036,563.0,4.154674931739355,9.0,0.06641576267434138,12926.0,95.3877942587263,60,MambaFormer-96,23.43164037085824,35.05836491981505,12.0,./results/mambaformer96_baseline_clarke/baseline_predlen12/best_model.pt
13187,8979.0,68.08978539470691,3414.0,25.88913323727914,60.0,0.4549935542579813,719.0,5.452339425191476,15.0,0.11374838856449533,12393.0,93.97891863198605,75,MambaFormer-96,27.43797308650184,40.49032803658104,18.0,./results/mambaformer96_baseline_clarke/baseline_predlen18/best_model.pt
13135,7788.0,59.2919680243624,4396.0,33.46783403121431,77.0,0.5862200228397412,855.0,6.509326227636087,19.0,0.1446516939474686,12184.0,92.7598020555767,90,MambaFormer-96,31.83468787130478,44.5522584081219,18.0,./results/mambaformer96_baseline_clarke/baseline_predlen18/best_model.pt
80825,,77.42538546674888,,18.633441894342514,,0.29744198508212455,,3.5859192900374635,,0.057811363789014227,,96.0588273610914,Avg,MambaFormer-96,20.69599185675812,30.464055373650805,,
