n,ZoneA_n,ZoneA_pct,ZoneB_n,ZoneB_pct,ZoneC_n,ZoneC_pct,ZoneD_n,ZoneD_pct,ZoneE_n,ZoneE_pct,ZoneAB_n,ZoneAB_pct,horizon_min,variant,MAE,RMSE,checkpoint
13700,13320.0,97.22627737226277,330.0,2.408759124087591,4.0,0.029197080291970805,46.0,0.3357664233576642,0.0,0.0,13650.0,99.63503649635037,15,original_full_patch_tod,7.24,11.795,results/spec_ablation_gated_patch_tod/spectrogram/best_h3.pt
13648,12101.0,88.66500586166471,1348.0,9.876905041031653,11.0,0.0805978898007034,188.0,1.3774912075029309,0.0,0.0,13449.0,98.54191090269636,30,hp_current_e30,13.598628010868293,20.95812347963193,results/main_patch_tod_all_horiz_hparam_search/hp_current_e30/spectrogram/best_h6.pt
13604,10937.0,80.39547192002352,2280.0,16.75977653631285,26.0,0.19112025874742722,359.0,2.6389297265510145,2.0,0.014701558365186709,13217.0,97.15524845633638,45,original_full_patch_tod,18.756,28.434,results/spec_ablation_gated_patch_tod/spectrogram/best_h9.pt
13551,9957.0,73.47797210537968,2994.0,22.094310382997566,45.0,0.3320788133717069,547.0,4.036602464762748,8.0,0.05903623348830345,12951.0,95.57228248837724,60,original_full_patch_tod,23.272,34.65,results/spec_ablation_gated_patch_tod/spectrogram/best_h12.pt
13187,8988.0,68.1580344278456,3481.0,26.39720937286722,66.0,0.5004929096837795,637.0,4.830514901038902,15.0,0.11374838856449533,12469.0,94.55524380071283,75,hp_lr2e4,26.93454659631283,39.65219303072226,results/main_patch_tod_all_horiz_hparam_search/hp_lr2e4/spectrogram/best_h15.pt
13135,8499.0,64.70498667681767,3786.0,28.823753330795583,108.0,0.822230681385611,716.0,5.4510848877046065,26.0,0.19794442329653597,12285.0,93.52874000761325,90,hp_wd1e5,30.147588276275837,44.21451291965517,results/main_patch_tod_90min_hparam_search/hp_wd1e5/spectrogram/best_h18.pt
80825,,78.771291393999,,17.726785631348744,,0.32595293888019977,,3.111731601819644,,0.06423843395242024,,96.49807702534775,Avg,-,19.991460480576162,29.950638238334893,
