image_type,horizon_min,MAE,RMSE,MAPE,R2,fusion_mode,dino_pool
GAF,15,7.344199406047949,11.91469506316087,5.158663087159884,0.9768602361698699,gated_residual,mean
GAF,30,14.308840883608005,22.231660997805687,9.97358477120997,0.9193501522076737,gated_residual,mean
GAF,45,19.34599853575671,29.326363474287724,13.65536632107847,0.8597102181351693,gated_residual,mean
GAF,60,23.289978379753293,35.0370325005651,16.31318432047814,0.7995743626202277,gated_residual,mean
GAF,75,27.370495777316382,40.65812344821177,18.877129858952348,0.7326407552645446,gated_residual,mean
GAF,90,30.20039871104718,44.18513341109106,21.686989011755585,0.6839883410071329,gated_residual,mean
MTF,15,7.780364871527191,12.169575305548445,5.728689111334129,0.9758596310425716,gated_residual,mean
MTF,30,13.6160946948861,20.999115360530368,9.67222215503222,0.9280448756536972,gated_residual,mean
MTF,45,18.789951663324057,28.624028526948862,13.42179129260614,0.8663493343523028,gated_residual,mean
MTF,60,23.41516069096585,34.986130959765816,16.852521928427784,0.8001562933577844,gated_residual,mean
MTF,75,27.064277467250417,40.16012225213997,19.361168036147706,0.7391501461326033,gated_residual,mean
MTF,90,30.267032917634488,44.63606990093408,21.461635333709115,0.677505239865265,gated_residual,mean
RP,15,7.22995163155596,11.828277022083608,5.113273340979165,0.9771946872154318,gated_residual,mean
RP,30,13.871724997219312,21.36865999590644,9.695094086997193,0.9254900439782238,gated_residual,mean
RP,45,19.05248471119996,28.762254002634787,13.358593517952688,0.8650554191979539,gated_residual,mean
RP,60,23.256232452265508,34.65258757895975,16.508461952721596,0.8039485850850248,gated_residual,mean
RP,75,27.32195253535543,40.33901349072004,19.459578407220686,0.7368210852888164,gated_residual,mean
RP,90,30.305074023874823,44.72473422283586,21.181004564098608,0.6762227712974231,gated_residual,mean
SPEC,15,7.306192830794912,11.977037573758787,5.183957473946616,0.9766174494138031,gated_residual,mean
SPEC,30,13.979373307811347,21.10994836009763,10.146257266965764,0.9272833151692368,gated_residual,mean
SPEC,45,18.97594255571399,28.96329844651563,13.19437332607824,0.8631623356236603,gated_residual,mean
SPEC,60,23.32359988292702,35.166707249129715,16.251199288452224,0.7980880358376952,gated_residual,mean
SPEC,75,26.919450920917612,40.117552780773636,18.95307520200659,0.7397028513810455,gated_residual,mean
SPEC,90,30.143602186805015,44.365106039088445,21.32654662996782,0.6814087731135868,gated_residual,mean
