image_type,horizon_min,MAE,RMSE,MAPE,R2,fusion_mode,dino_pool
RP,15,7.22995163155596,11.828277022083608,5.113273340979165,0.9771946872154318,gated_residual,mean
MTF,30,13.6160946948861,20.999115360530368,9.67222215503222,0.9280448756536972,gated_residual,mean
MTF,45,18.789951663324057,28.624028526948862,13.42179129260614,0.8663493343523028,gated_residual,mean
RP,60,23.256232452265508,34.65258757895975,16.508461952721596,0.8039485850850248,gated_residual,mean
SPEC,75,26.919450920917612,40.117552780773636,18.95307520200659,0.7397028513810455,gated_residual,mean
SPEC,90,30.143602186805015,44.365106039088445,21.32654662996782,0.6814087731135868,gated_residual,mean
