horizon_min,MAE,RMSE,MAPE,R2,AlphaRP,AlphaSPEC,AlphaGAF,AlphaMTF,fusion_mode,dino_pool,modality_fusion
15,7.611606148845356,12.2143530342558,5.468909874714009,0.9756816561281882,0.13227850999305854,0.06455772002523316,0.5322990939246803,0.27086467634682565,gated_residual,mean,attention
30,13.90226126442475,21.338090764761397,9.619086429143081,0.9257030739822084,0.1602510466587285,0.01045088470608691,0.7514406712171233,0.0778573974484299,gated_residual,mean,attention
45,20.032934092395653,30.423837800409203,13.726620705279826,0.849013677239648,0.09492192949655541,0.019266593767704114,0.7111789971125613,0.17463247998587741,gated_residual,mean,attention
60,23.343293348538595,35.20633168860245,16.277369532470544,0.7976327668384452,0.09413069228408583,0.38231060678591516,0.39685500399763846,0.12670369682252533,gated_residual,mean,attention
75,26.932682612389215,40.32047354778295,18.756310097614826,0.7370629454813519,0.02779235768194326,0.11722999100066214,0.7634023960610319,0.09157525473425979,gated_residual,mean,attention
90,30.48374659947706,44.30183975102676,21.915092999077547,0.6823167710637841,0.02726178002476289,0.016716035434822592,0.9175441773336765,0.03847800701324491,gated_residual,mean,attention
