horizon_min,n,baseline_zoneA_pct,baseline_zoneA_ci_low,baseline_zoneA_ci_high,main_zoneA_pct,main_zoneA_ci_low,main_zoneA_ci_high,delta_zoneA_pp,delta_zoneA_ci_low,delta_zoneA_ci_high,both_zoneA_n,baseline_only_zoneA_n,main_only_zoneA_n,neither_zoneA_n,mcnemar_p,discordant_n,main_to_baseline_discordant_ratio
15,13700,96.6934323310852,96.39416337013245,96.99270129203796,97.22627997398376,96.95620536804199,97.49634861946106,0.532846711575985,0.3284671576693654,0.7372262887656689,13181,66,139,314,3.760268516987403e-07,205,2.106060606060606
30,13648,87.11166381835938,86.54729872941971,87.67585158348083,88.66500854492188,88.11547756195068,89.2072081565857,1.5533411875367165,1.1943141929805279,1.897713914513588,11696,193,405,1354,2.7580870436637775e-18,598,2.098445595854922
45,13604,80.08673787117004,79.41046953201294,80.76301217079163,80.39547204971313,79.72655296325684,81.06439113616943,0.30873273499310017,-0.06615701131522655,0.6838062498718473,10582,313,355,2354,0.11259469983262371,668,1.134185303514377
60,13551,73.27872514724731,72.54815101623535,74.03143644332886,73.47797155380249,72.71788120269775,74.21610921621323,0.19924729131162167,-0.18448822665959597,0.5903623532503843,9582,348,375,3246,0.33357255205347724,723,1.0775862068965518
75,13187,68.08978319168091,67.28596091270447,68.90877485275269,68.15803647041321,67.35421419143677,68.93910765647888,0.06824903539381921,-0.4701599944382906,0.6142412777990103,8313,666,675,3533,0.8270793663151648,1341,1.0135135135135136
90,13135,59.29197072982788,58.45451354980469,60.12181043624878,64.70498442649841,63.88275623321533,65.50437808036804,5.41301853954792,4.7202132642269135,6.105824187397957,7047,741,1452,3895,7.824698904569416e-53,2193,1.959514170040486
Pooled,80825,77.6096522808075,77.32010379433632,77.89297699928284,78.93844842910767,78.653883934021,79.21682596206665,1.3287968002259731,1.1456850916147232,1.5106712467968464,60401,2327,3401,14696,6.9610586395507525e-46,5728,1.4615384615384615
